Timestamp,Industry,Employees_size  , IT_size,team_size,LifeCycle_Software,Software_System,Software_system_architecture,Deployable_Components, Runtime_component_instances,Component_Communication_Styles ,Deployed_on,Computing_Model_Layers ,Release_automation_rate,upgrades_release rate,System_load_ user_requests,observability_rate,problem_discover  ,Incident_first_check_metrics, Most_common_incident ,Incidents_require_manual_ intervention,managed_incidents,Incidents_number_history,unavailability_time,Incident_diagnose_time,Deployment_techniques,third_party_tools ,new_component_in production,monitoring_information_access,alert_receiver,receive_alerts_employees,alert_rate, alert_percentage,maximum_granularity , retention _policy,reliability_availability,maturity level_improvement,adoption_main_obstacles,survey_useful,additional_comments,
9-12-2016 20:39:58,Consumer Services,101 - 500,21 - 100,1 - 5,"System administration and operation management, Management and improvement of development/operation process","Enterprise Software (e.g.: CRM, supply chain management)","Monolithic architecture, Client-server",4 - 10,6 - 20,"Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication",Private hosting,"Bare metal, Virtual machines (IaaS)",3,At least 1 release per week,"> 10,000",3,Manually,Availability,Buggy release of core components,"Damaged hardware, Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update, CPU saturation, Memory saturation, Network saturation, Disk is full",Incidents on third party service (e.g.: Cloud provider outage),1 - 5,Less than 1 hour,21 - 60 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed, Dashboards provided by third party monitoring tools","Cacti, MySQL, SolarWinds, Splunk, System Center Operations Manager (SCOM)",It is released with no monitoring or relying on the existing monitoring configuration,Operators,Operators,6 - 20,21 - 100 per day,21 - 50%,11 to 60 seconds,Monitoring data is stored as raw data forever,All or some of the monitoring components are monitored as well as core system components,We are always improving it,We don’t value monitoring as a strategic investment,Partially,,
9-12-2016 21:32:56,Financials,"2,001 - 10,000",101 - 500,21 - 50,"Requirement Engineering, Middleware and supporting services",Business intelligence software,Client-server,4 - 10,6 - 20,Request/response synchronous communication,Private hosting,"Virtual machines (IaaS), Third party services (SaaS)",3,At least 1 release per week,"101 - 1,000",3,Phone call from customers,"Availability, CPU activity, Requests/response throughput, Requests/response latency",Buggy release of core components,"Wrong configuration update, Network saturation, Disk is full",CPU saturation,1 - 5,Less than 20 minutes,6 - 20 minutes,Custom dashboards internally developed,SolarWinds,It is released with no monitoring or relying on the existing monitoring configuration,Operators,Operators,6 - 20,More than 100 per day,6 - 20%,2 to 10 seconds,Monitoring data is aggregated at different granularities based on its aging,There is currently no way to assess the availability of our monitoring components,"Yes, we plan to improve it in the next future","There are too many tools, Lack of automation, Lack of standardization",Yes,,
9-12-2016 22:35:19,Financials,101 - 500,6 - 20,1 - 5,"Requirement Engineering, Design, Development, System administration and operation management, Management and improvement of development/operation process",Business intelligence software,"Client-server, Service-oriented architecture (SOA), Microservices, Event-driven",51 - 100,"> 10,000","Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Hybrid hosting,"Bare metal, Virtual machines (IaaS), Linux Containers (e.g.: Docker), Serverless (FaaS) (e.g.: AWS Lambda)",4,1 to 10 releases per day,"1,001 - 10,000",4,Manually,"Availability, Memory activity (RAM), CPU activity, Disk activity, Network activity, Requests/response throughput, Requests/response latency, Database related metrics, Error rates",Buggy release of core components,"Damaged hardware, Upgrade to a buggy third party service, CPU saturation, Memory saturation, Network saturation, Incidents on third party service (e.g.: Cloud provider outage)","Buggy release of core components, Wrong configuration update, Disk is full",6 - 20,Less than 20 minutes,21 - 60 minutes,"Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed","Apache Kafka, AWS CloudWatch, Cacti, Collectd, Elasticsearch, Grafana, Graphite, Icinga, JMX, Kibana, LogStash, RabbitMQ, Sensu, collectl saltstack",Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,"Developers, Operators, Business","Developers, Operators, Business",21 - 100,21 - 100 per day,21 - 50%,Under the second,Monitoring data is aggregated at different granularities based on its aging,"All or some of the monitoring components are monitored as well as core system components, Monitoring components are replicated or distributed on different hosting solutions, Multiple, overlapping (or partially overlapping), monitoring solutions are used",We are always improving it,"Tools are hard to use and configure, Applications are hard to instrument",Yes,,
9-12-2016 23:44:12,Telecommunications,6 - 20,6 - 20,1 - 5,"Design, Development",Product engineering software,Client-server,1 - 3,1 - 5,"Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication",Public hosting,"Virtual machines (IaaS), Linux Containers (e.g.: Docker)",3,At least 1 release per week,11 - 100,2,Manually,"Availability, Memory activity (RAM), CPU activity, Requests/response latency, Error rates",Wrong configuration update,"Buggy release of core components, Wrong configuration update, Incidents on third party service (e.g.: Cloud provider outage)",,6 - 20,Less than 1 hour,21 - 60 minutes,"Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Dashboards provided by third party monitoring tools","Apache Kafka, Google Analytics, Google Cloud Monitoring, Grafana, InfluxDB, Nagios",It is released with no monitoring or relying on the existing monitoring configuration,Developers,"Developers, Business",2 - 5,At least 1 per month,1 - 5%,2 to 10 seconds,Monitoring data is stored as raw data forever,Reliability and availability of monitoring components are guaranteed by third party providers SLA,We are always improving it,We don’t value monitoring as a strategic investment,Yes,The survey is also good for a self-analysis of the monitoring system adopted inside your company. Now I'm more conscious of our monitoring configuration. Thank you guys for this survey!,
9-13-2016 0:18:14,Technology,101 - 500,6 - 20,6 - 20,"Requirement Engineering, Design, System administration and operation management",Big data application,"Monolithic architecture, Client-server, Microservices, Peer-to-peer",1 - 3,21 - 50,"Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication",Hybrid hosting,"Bare metal, Virtual machines (IaaS), Third party services (SaaS), Linux Containers (e.g.: Docker)",2,At least 1 release per month,1 - 10,1,Manually,"Availability, Memory activity (RAM), CPU activity, Disk activity, Network activity, Requests/response throughput, Requests/response latency, Error rates",Buggy release of core components,"Damaged hardware, Wrong configuration update, Memory saturation, Network saturation, Disk is full",Incidents on third party service (e.g.: Cloud provider outage),21 - 100,Less than 1 hour,1 - 2 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)","AWS CloudWatch, Nagios",It is released with no monitoring or relying on the existing monitoring configuration,Operators,"Developers, Operators",6 - 20,More than 100 per day,More than 50%,11 to 60 seconds,Monitoring data is aggregated at different granularities based on its aging,There is currently no way to assess the reliability of our monitoring components,"Yes, we plan to improve it in the next future","Lack of automation, Lack of standardization",Yes,,
9-13-2016 1:00:10,Government,101 - 500,1 - 5,1 - 5,System administration and operation management,"Enterprise Infrastructure Software (e.g.: Mail, DBs)",Client-server,4 - 10,6 - 20,Request/response synchronous communication,Hybrid hosting,Bare metal,1,At least 1 release per month,11 - 100,2,Automatically,"Availability, Network activity",Power failure,"Damaged hardware, Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update, CPU saturation, Memory saturation, Network saturation, Disk is full",Incidents on third party service (e.g.: Cloud provider outage),21 - 100,Less than 12 hours,More than 6 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)",Axence netTools,It is released with no monitoring or relying on the existing monitoring configuration,Developers,Developers,2 - 5,At least 1 per week,6 - 20%,One second,Monitoring data is stored as raw data forever,There is currently no way to assess the reliability of our monitoring components,No because investing time and money on monitoring is not perceived as a profitable investment,"There are too many tools, Lack of standardization, We don’t value monitoring as a strategic investment",Partially,,
9-13-2016 1:59:25,Higher education,101 - 500,6 - 20,1 - 5,"System administration and operation management, Management and improvement of development/operation process","Enterprise Software (e.g.: CRM, supply chain management)","Monolithic architecture, Service-oriented architecture (SOA)",1 - 3,6 - 20,Request/response synchronous communication,Hybrid hosting,Virtual machines (IaaS),2,At least 1 release per month,"101 - 1,000",4,Automatically,"Availability, CPU activity, Network activity, Requests/response latency",Wrong configuration update,"Damaged hardware, Upgrade to a buggy third party service","CPU saturation, Memory saturation, Network saturation",6 - 20,Less than 1 hour,6 - 20 minutes,"Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Dashboards provided by third party monitoring tools","Elasticsearch, Grafana, Graphite, Kibana, LogStash, SolarWinds, Zabbix",Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,Operators,Operators,2 - 5,1 - 20 per day,6 - 20%,Over 1 minute,Monitoring data is aggregated at different granularities based on its aging,"All or some of the monitoring components are monitored as well as core system components, Multiple, overlapping (or partially overlapping), monitoring solutions are used",We are always improving it,"Lack of standardization, Applications are hard to instrument",Yes,,
9-13-2016 2:20:32,Technology,6 - 20,1 - 5,1 - 5,"Design, Development","Enterprise Software (e.g.: CRM, supply chain management)","Monolithic architecture, Client-server, Service-oriented architecture (SOA), Microservices",4 - 10,21 - 50,"Request/response synchronous communication, Publish/subscribe communication",Public hosting,"Virtual machines (IaaS), Third party services (SaaS), Linux Containers (e.g.: Docker), Serverless (FaaS) (e.g.: AWS Lambda)",3,1 to 10 releases per day,"101 - 1,000",5,Manually,"Availability, Memory activity (RAM), CPU activity, Disk activity, Network activity, Requests/response throughput, Requests/response latency, Database related metrics, Error rates",Incidents on third party service (e.g.: Cloud provider outage),"Damaged hardware, Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update, CPU saturation, Memory saturation, Network saturation, Disk is full, Incidents on third party service (e.g.: Cloud provider outage)","CPU saturation, Memory saturation, Network saturation, Disk is full",6 - 20,Less than 1 hour,21 - 60 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Dashboards provided by third party monitoring tools","AWS CloudWatch, Pingdom",QoS metrics and checks relative to the new functionality are deployed together with the new release,"Developers, Operators","Developers, Operators, Business",6 - 20,21 - 100 per day,1 - 5%,11 to 60 seconds,Monitoring data is stored as raw data forever,"There is currently no way to assess the reliability of our monitoring components, There is currently no way to assess the availability of our monitoring components","Yes, we plan to improve it in the next future","Lack of automation, Lack of standardization",Yes,,
9-13-2016 3:44:12,Technology,1 - 5,1 - 5,1 - 5,"Development, System administration and operation management, Management and improvement of development/operation process",IoT application,"Monolithic architecture, Client-server, Microservices, Event-driven, Peer-to-peer",4 - 10,1 - 5,"Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication",Hybrid hosting,"Bare metal, Virtual machines (IaaS), Linux Containers (e.g.: Docker)",1,1 to 10 releases per day,11 - 100,2,Manually,"Availability, Memory activity (RAM), Network activity, Requests/response throughput, Requests/response latency, Error rates",Buggy release of core components,"Damaged hardware, Buggy release of core components, Wrong configuration update, Disk is full, Incidents on third party service (e.g.: Cloud provider outage)","CPU saturation, Memory saturation, Network saturation, Disk is full",None,No availability issues in the last year,3 - 6 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Custom dashboards internally developed",Google Analytics,It is released with no monitoring or relying on the existing monitoring configuration,Developers,Developers,2 - 5,At least 1 per month,6 - 20%,Over 1 minute,Monitoring data is not stored,There is currently no way to assess the reliability of our monitoring components,No because investing time and money on monitoring is not perceived as a profitable investment,"There are too many tools, Lack of automation, Lack of standardization, Tools are hard to use and configure, Applications are hard to instrument, Current tools are not informative enough",Yes,,
9-13-2016 9:02:43,Health Care,"2,001 - 10,000","501 - 2,000",1 - 5,"Design, Development","Enterprise Software (e.g.: CRM, supply chain management)",Microservices,1 - 3,1 - 5,"Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Private hosting,"Virtual machines (IaaS), Linux Containers (e.g.: Docker)",2,At least 1 release per week,1 - 10,2,Manually,Availability,CPU saturation,"CPU saturation, Memory saturation, Network saturation",,6 - 20,Less than 1 hour,1 - 2 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser",,QoS metrics and checks relative to the new functionality are deployed together with the new release,Developers,Developers,2 - 5,1 - 20 per day,6 - 20%,2 to 10 seconds,Monitoring data is not stored,There is currently no way to assess the reliability of our monitoring components,"Yes, we plan to improve it in the next future","There are too many tools, Lack of automation, Applications are hard to instrument",No,,
9-13-2016 9:24:37,Technology,"> 100,000","> 10,000",6 - 20,"Design, Development",Cloud computing systems,"Client-server, Service-oriented architecture (SOA), Event-driven",> 100,"> 10,000","Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication",Private hosting,"Bare metal, Virtual machines (IaaS), Platform (PaaS), Serverless (FaaS) (e.g.: AWS Lambda)",3,More than 10 releases per day,"> 10,000",4,Automatically,"Availability, Memory activity (RAM), CPU activity, Disk activity, Network activity, Requests/response throughput, Requests/response latency, Error rates",Damaged hardware,"Damaged hardware, Buggy release of core components, Wrong configuration update","CPU saturation, Memory saturation, Network saturation, Disk is full",21 - 100,Less than 12 hours,21 - 60 minutes,"Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Custom dashboards internally developed","AWS CloudWatch, Kibana",QoS metrics and checks relative to the new functionality are deployed together with the new release,"Operators, Business","Developers, Operators, Business",> 100,At least 1 per week,0%,Over 1 minute,Monitoring data is stored for at least 5 years,"All or some of the monitoring components are monitored as well as core system components, Monitoring components are replicated or distributed on different hosting solutions, Multiple, overlapping (or partially overlapping), monitoring solutions are used",We are always improving it,"There are too many tools, Lack of standardization",Partially,,
9-13-2016 9:45:03,Technology,"2,001 - 10,000","2,001 - 10,000",6 - 20,"Requirement Engineering, Design, Management and improvement of development/operation process",Educational software,Monolithic architecture,4 - 10,1 - 5,Request/response synchronous communication,Private hosting,Virtual machines (IaaS),2,At least 1 release per month,< 1,5,Email,"Availability, Memory activity (RAM), Network activity, Database related metrics",Incidents on third party service (e.g.: Cloud provider outage),"Damaged hardware, Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update, CPU saturation, Memory saturation, Network saturation, Disk is full, Incidents on third party service (e.g.: Cloud provider outage)",,1 - 5,Less than 1 hour,6 - 20 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)","Google Analytics, Nagios, Splunk",It is released with no monitoring or relying on the existing monitoring configuration,Operators,"Developers, Operators, Business",2 - 5,At least 1 per month,21 - 50%,11 to 60 seconds,Monitoring data is stored as raw data forever,"All or some of the monitoring components are monitored as well as core system components, Multiple, overlapping (or partially overlapping), monitoring solutions are used",There’s no need to improve it,"Lack of standardization, Applications are hard to instrument, Current tools are not informative enough",Partially,,
9-13-2016 11:28:28,Technology,"2,001 - 10,000",101 - 500,6 - 20,System administration and operation management,Educational software,"Monolithic architecture, Client-server, Service-oriented architecture (SOA), Microservices",11 - 20,51 - 100,"Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Private hosting,"Bare metal, Virtual machines (IaaS), Linux Containers (e.g.: Docker)",3,At least 1 release per month,"101 - 1,000",2,Manually,"Availability, Memory activity (RAM), CPU activity, Disk activity, Network activity, Requests/response throughput, Requests/response latency, Database related metrics, Error rates",Memory saturation,"Damaged hardware, Buggy release of core components, Wrong configuration update, Disk is full","CPU saturation, Memory saturation, Network saturation",6 - 20,Less than 20 minutes,Less than 5 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)","Collectd, Nagios, Sysdig",QoS metrics and checks relative to the new functionality are deployed together with the new release,"Developers, Operators",Operators,6 - 20,1 - 20 per day,More than 50%,11 to 60 seconds,Monitoring data is aggregated at different granularities based on its aging,"There is currently no way to assess the reliability of our monitoring components, There is currently no way to assess the availability of our monitoring components","Yes, we plan to improve it in the next future","Lack of standardization, Applications are hard to instrument",Partially,,
9-13-2016 11:30:33,Information Technology,"2,001 - 10,000","2,001 - 10,000",1 - 5,"Requirement Engineering, Design, Development, R&D",Content access software,Service-oriented architecture (SOA),4 - 10,1 - 5,"Request/response synchronous communication, Publish/subscribe communication",Private hosting,Virtual machines (IaaS),2,At least 1 release per month,1 - 10,2,Manually,"Availability, Network activity, Database related metrics",Incidents on third party service (e.g.: Cloud provider outage),Buggy release of core components,,1 - 5,Less than 20 minutes,Less than 5 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser","Google Analytics, MySQL",QoS metrics and checks relative to the new functionality are deployed together with the new release,Developers,Developers,No alert systems used,No alert systems used,,Over 1 minute,Monitoring data is not stored,,No because investing time and money on monitoring is not perceived as a profitable investment,"There are too many tools, Tools are hard to use and configure, Applications are hard to instrument, We don’t value monitoring as a strategic investment",Partially,,
9-13-2016 12:07:16,Technology,"2,001 - 10,000","2,001 - 10,000",6 - 20,Development,"Enterprise Software (e.g.: CRM, supply chain management)","Client-server, Service-oriented architecture (SOA), Microservices",4 - 10,6 - 20,"Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication",Hybrid hosting,Platform (PaaS),4,At least 1 release per week,11 - 100,3,Manually,"Availability, Requests/response throughput, Requests/response latency, Error rates",Buggy release of core components,Buggy release of core components,Upgrade to a buggy third party service,6 - 20,More than 12 hours,1 - 2 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts)","Netflix Vector, Netlifix Atlas",It is released with no monitoring or relying on the existing monitoring configuration,"Operators, Business","Operators, Business",2 - 5,At least 1 per week,6 - 20%,No monitoring data is collected,Monitoring data is not stored,There is currently no way to assess the reliability of our monitoring components,"Yes, we plan to improve it in the next future","There are too many tools, Lack of automation, Lack of standardization",Partially,,
9-13-2016 16:19:59,Technology,101 - 500,1 - 5,6 - 20,"Design, Development, System administration and operation management",Entertainment,"Monolithic architecture, Client-server, Service-oriented architecture (SOA)",11 - 20,51 - 100,"Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Private hosting,"Bare metal, Virtual machines (IaaS)",4,1 to 10 releases per day,"> 10,000",4,Automatically,"Availability, Memory activity (RAM), CPU activity, Disk activity, Network activity, Requests/response throughput, Requests/response latency, JVM metrics, Database related metrics, Error rates",Buggy release of core components,"Damaged hardware, Network saturation, Disk is full","Upgrade to a buggy third party service, Wrong configuration update",6 - 20,Less than 1 hour,6 - 20 minutes,"Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed","Grafana, Kibana, Nagios",QoS metrics and checks relative to the new functionality are deployed together with the new release,"Developers, Operators","Developers, Operators, Business",21 - 100,1 - 20 per day,More than 50%,2 to 10 seconds,Monitoring data is aggregated at different granularities based on its aging,All or some of the monitoring components are monitored as well as core system components,We are always improving it,"Lack of standardization, Applications are hard to instrument",Partially,,
9-13-2016 17:21:22,Health Care,6 - 20,1 - 5,1 - 5,"Requirement Engineering, Design, Development, Middleware and supporting services, System administration and operation management, Management and improvement of development/operation process","Enterprise Software (e.g.: CRM, supply chain management)",Service-oriented architecture (SOA),11 - 20,6 - 20,Request/response synchronous communication,Hybrid hosting,Virtual machines (IaaS),2,At least 1 release per month,"101 - 1,000",2,Manually,"Availability, Disk activity",Buggy release of core components,"Damaged hardware, Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update, CPU saturation, Memory saturation, Network saturation, Disk is full, Incidents on third party service (e.g.: Cloud provider outage)",,21 - 100,More than 12 hours,21 - 60 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Dashboards provided by third party monitoring tools","Nagios, NewRelic",It is released with no monitoring or relying on the existing monitoring configuration,"Developers, Operators","Developers, Operators",2 - 5,1 - 20 per day,6 - 20%,Under the second,Monitoring data is stored as raw data forever,"There is currently no way to assess the reliability of our monitoring components, There is currently no way to assess the availability of our monitoring components",We are always improving it,"There are too many tools, Lack of automation, Lack of standardization",Yes,,
9-14-2016 9:18:54,Consumer Services,101 - 500,6 - 20,6 - 20,"Quality Assurance, System administration and operation management",Information worker software,Client-server,1 - 3,1 - 5,One-way (no response expected) request communication,Private hosting,"Bare metal, Virtual machines (IaaS), Platform (PaaS)",,1 to 10 releases per day,"101 - 1,000",1,Email,"Availability, CPU activity, Disk activity, Requests/response latency",Disk is full,"Damaged hardware, Disk is full","Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update",1 - 5,Less than 1 hour,3 - 6 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts)","Azure Application Insight, AzureWatch",Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,Developers,Developers,6 - 20,At least 1 per month,21 - 50%,Over 1 minute,Monitoring data is aggregated at different granularities based on its aging,All or some of the monitoring components are monitored as well as core system components,We are always improving it,"Tools are hard to use and configure, Applications are hard to instrument",Yes,,
9-14-2016 10:11:13,Technology,"2,001 - 10,000","2,001 - 10,000",1 - 5,"Requirement Engineering, Design","Enterprise Software (e.g.: CRM, supply chain management)","Client-server, Service-oriented architecture (SOA)",1 - 3,1 - 5,"Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Private hosting,"Bare metal, Virtual machines (IaaS)",,At least 1 release per week,< 1,1,Manually,"Availability, Memory activity (RAM), Requests/response throughput, Requests/response latency",Memory saturation,Memory saturation,,1 - 5,Less than 12 hours,3 - 6 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser",,It is released with no monitoring or relying on the existing monitoring configuration,Operators,Operators,No alert systems used,No alerting systems is used,,No monitoring data is collected,Monitoring data is not stored,,There’s no need to improve it,We don’t value monitoring as a strategic investment,No,,
9-14-2016 13:22:57,Technology,"10,001 - 100,000","501 - 2,000",21 - 50,Development,"Enterprise Infrastructure Software (e.g.: Mail, DBs)","Client-server, Event-driven",1 - 3,1 - 5,Request/response synchronous communication,Private hosting,"Bare metal, Virtual machines (IaaS)",1,At least 1 release per year,"> 10,000",4,Manually,"Availability, Network activity, Requests/response throughput, Requests/response latency, Error rates",Buggy release of core components,"Buggy release of core components, Wrong configuration update","Network saturation, No other",6 - 20,No availability issues in the last year,Less than 5 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)","Collectd, JMX",Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,Operators,Operators,No alert systems used,No alerting systems is used,0%,Under the second,Monitoring data is not stored,All or some of the monitoring components are monitored as well as core system components,"Yes, we plan to improve it in the next future","There are too many tools, Lack of automation, Lack of standardization, Tools are hard to use and configure, Current tools are not informative enough, We don’t value monitoring as a strategic investment",Partially,,
9-14-2016 21:29:42,Aerospace,"2,001 - 10,000",101 - 500,6 - 20,"Design, Management and improvement of development/operation process",Passenger booking system in an understatement,Client-server,51 - 100,"501 - 2,000","Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication, Queue",Hybrid hosting,"Bare metal, Virtual machines (IaaS), Third party services (SaaS)",3,At least 1 release per week,"> 10,000",3,Manually,"Availability, Database related metrics, Error rates",Incidents on third party service (e.g.: Cloud provider outage),"Damaged hardware, Incidents on third party service (e.g.: Cloud provider outage)","CPU saturation, Memory saturation, Network saturation, Disk is full",21 - 100,Less than 20 minutes,6 - 20 minutes,"Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed, Dashboards provided by third party monitoring tools","AppDynamics, Google Analytics, Pingdom, SolarWinds, Splunk, Sitescope, truesight, opmanager, OEM",Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,Operators,"Developers, Operators, Business",> 100,1 - 20 per day,1 - 5%,Over 1 minute,Monitoring data is aggregated at different granularities based on its aging,All or some of the monitoring components are monitored as well as core system components,We are always improving it,"Lack of standardization, Applications are hard to instrument",Partially,,
9-15-2016 8:55:53,Health Care,101 - 500,101 - 500,6 - 20,"Requirement Engineering, Design, Quality Assurance, Development, Middleware and supporting services, System administration and operation management, Management and improvement of development/operation process","Enterprise Software (e.g.: CRM, supply chain management)",Service-oriented architecture (SOA),21 - 50,21 - 50,"Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication",Public hosting,"Virtual machines (IaaS), Platform (PaaS), Third party services (SaaS)",3,At least 1 release per week,"101 - 1,000",,Automatically,It depends from kind of incident ,It depends from installation,Buggy release of core components,"Damaged hardware, Memory saturation",21 - 100,Less than 1 hour,21 - 60 minutes,"Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Dashboards provided by third party monitoring tools",Zabbix,It is released with no monitoring or relying on the existing monitoring configuration,"Developers, Operators","Developers, Operators, Business",21 - 100,1 - 20 per day,1 - 5%,2 to 10 seconds,Monitoring data is aggregated at different granularities based on its aging,"There is currently no way to assess the availability of our monitoring components, All or some of the monitoring components are monitored as well as core system components","Yes, we plan to improve it in the next future",Current tools are not informative enough,Partially,,
9-15-2016 13:50:37,Technology,6 - 20,6 - 20,1 - 5,"Development, Middleware and supporting services","Enterprise Software (e.g.: CRM, supply chain management)",Client-server,4 - 10,1 - 5,Request/response asynchronous  (response expected but non-blocking) communication,Private hosting,"Bare metal, Virtual machines (IaaS), Platform (PaaS)",3,At least 1 release per month,11 - 100,2,Manually,"Availability, Memory activity (RAM), CPU activity, Disk activity, Network activity, Requests/response throughput, Requests/response latency, Error rates",CPU saturation,"Damaged hardware, CPU saturation, Memory saturation, Network saturation, Disk is full","Buggy release of core components, Upgrade to a buggy third party service",6 - 20,Less than 1 hour,6 - 20 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed","MySQL, Nagios, Netflix Vector, Statsd",QoS metrics and checks relative to the new functionality are deployed together with the new release,"Developers, Operators",Operators,2 - 5,At least 1 per week,More than 50%,2 to 10 seconds,Stored then rotated after 2 weeks,All or some of the monitoring components are monitored as well as core system components,We are always improving it,"There are too many tools, Lack of automation, Tools are hard to use and configure",Yes,,
9-15-2016 15:46:32,Technology,6 - 20,6 - 20,6 - 20,"Development, Middleware and supporting services","Enterprise Infrastructure Software (e.g.: Mail, DBs)",Service-oriented architecture (SOA),4 - 10,1 - 5,"Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication",Hybrid hosting,"Bare metal, Virtual machines (IaaS), Linux Containers (e.g.: Docker)",4,At least 1 release per month,"101 - 1,000",3,Automatically,"Availability, Requests/response latency",CPU saturation,"Damaged hardware, Buggy release of core components, Wrong configuration update, CPU saturation, Memory saturation, Network saturation, Disk is full",,21 - 100,Less than 12 hours,3 - 6 hours,"Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)","Cacti, Collectd, Google Analytics, Nagios, Netflix Vector",It is released with no monitoring or relying on the existing monitoring configuration,Operators,Operators,2 - 5,1 - 20 per day,6 - 20%,2 to 10 seconds,Monitoring data is aggregated at different granularities based on its aging,Monitoring components are replicated or distributed on different hosting solutions,"Yes, we plan to improve it in the next future","Lack of automation, Tools are hard to use and configure",Yes,,
